name,years,rating,image_url,description,url
1. Attack on Titan,2013–2023,9.1,"https://m.media-amazon.com/images/M/MV5BNDFjYTIxMjctYTQ2ZC00OGQ4LWE3OGYtNDdiMzNiNDZlMDAwXkEyXkFqcGdeQXVyNzI3NjY3NjQ@._V1_QL75_UY207_CR7,0,140,207_.jpg","After his hometown is destroyed and is traumatized, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",https://www.imdb.com//title/tt2560140/?ref_=sr_t_1
2. One Piece,1999–,9.0,"https://m.media-amazon.com/images/M/MV5BM2YwYTkwNjItNGQzNy00MWE1LWE1M2ItOTMzOGI1OWQyYjA0XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UY207_CR3,0,140,207_.jpg","Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece.""",https://www.imdb.com//title/tt0388629/?ref_=sr_t_2
3. Jujutsu Kaisen,2020–,8.6,"https://m.media-amazon.com/images/M/MV5BNGY4MTg3NzgtMmFkZi00NTg5LWExMmEtMWI3YzI1ODdmMWQ1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_QL75_UX140_CR0,1,140,207_.jpg",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,https://www.imdb.com//title/tt12343534/?ref_=sr_t_3
4. Frieren: Beyond Journey's End,2023–,9.0,"https://m.media-amazon.com/images/M/MV5BODU1NTQ3MjYtZWM0Mi00ZTRjLWE2NTAtMGM5YzZjN2RkZWI0XkEyXkFqcGdeQXVyNzI3NjY3NjQ@._V1_QL75_UY207_CR3,0,140,207_.jpg","An elf and her friends defeat a demon king in a great war. But the war is over, and the elf must search for a new way of life.",https://www.imdb.com//title/tt22248376/?ref_=sr_t_4
5. Demon Slayer: Kimetsu no Yaiba,2019–,8.6,"https://m.media-amazon.com/images/M/MV5BYTIxNjk3YjItYmYzMC00ZTdmLTk0NGUtZmNlZTA0NWFkZDMwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",https://www.imdb.com//title/tt9335498/?ref_=sr_t_5
6. Dragon Ball Z,1989–1996,8.8,"https://m.media-amazon.com/images/M/MV5BNGM5MTEyZDItZWNhOS00NzNkLTgwZTAtNWIzY2IzZmExOWMxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR3,0,140,207_.jpg","With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",https://www.imdb.com//title/tt0214341/?ref_=sr_t_6
7. Naruto,2002–2007,8.4,"https://m.media-amazon.com/images/M/MV5BZmQ5NGFiNWEtMmMyMC00MDdiLTg4YjktOGY5Yzc2MDUxMTE1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR1,0,140,207_.jpg","Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",https://www.imdb.com//title/tt0409591/?ref_=sr_t_7
8. Naruto: Shippuden,2007–2017,8.7,"https://m.media-amazon.com/images/M/MV5BZGFiMWFhNDAtMzUyZS00NmQ2LTljNDYtMmZjNTc5MDUxMzViXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",https://www.imdb.com//title/tt0988824/?ref_=sr_t_8
9. Vinland Saga,2019–2023,8.8,"https://m.media-amazon.com/images/M/MV5BNzQwODI4Y2YtNjFmNC00NTExLWE0NzYtMTUzNjA0YzBhY2YyXkEyXkFqcGdeQXVyMTMxMTYzNDkz._V1_QL75_UY207_CR3,0,140,207_.jpg","Following a tragedy, Thorfinn embarks on a journey with the man responsible for it to take his life in a duel as a true and honorable warrior to pay homage.",https://www.imdb.com//title/tt10233448/?ref_=sr_t_9
10. Kill Bill: Vol. 1,2003,8.2,"https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,1,140,207_.jpg","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",https://www.imdb.com//title/tt0266697/?ref_=sr_t_10
11. Hunter x Hunter,2011–2014,9.0,"https://m.media-amazon.com/images/M/MV5BNGM0YTk3MWEtN2JlZC00ZmZmLWIwMDktZTMxZGE5Zjc2MGExXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",https://www.imdb.com//title/tt2098220/?ref_=sr_t_11
12. Delicious in Dungeon,2024–,7.6,"https://m.media-amazon.com/images/M/MV5BOTFlOTIwYjQtNTJhNS00YmRmLWE5NTgtZjc4NjNjNzZhNzI3XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX140_CR0,1,140,207_.jpg","Can sisters be reincarnated from dragon poop? Laios and his friends Marcille and Chilchuck delve into an endless dungeon in search of his fallen sister, fighting monsters, starvation, and corruption.",https://www.imdb.com//title/tt21621494/?ref_=sr_t_12
13. Death Note,2006–2007,8.9,"https://m.media-amazon.com/images/M/MV5BNjRiNmNjMmMtN2U2Yi00ODgxLTk3OTMtMmI1MTI1NjYyZTEzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,https://www.imdb.com//title/tt0877057/?ref_=sr_t_13
14. My Hero Academia,2016–,8.3,"https://m.media-amazon.com/images/M/MV5BOGZmYjdjN2UtNjAwZi00YmEyLWFhNTEtNjM1OTc5ODg0MGEyXkEyXkFqcGdeQXVyMTA1NjQyNjkw._V1_QL75_UY207_CR5,0,140,207_.jpg","A superhero-admiring boy enrolls in a prestigious hero academy and learns what it really means to be a hero, after the strongest superhero grants him his own powers.",https://www.imdb.com//title/tt5626028/?ref_=sr_t_14
15. One Punch Man,2015–2019,8.7,"https://m.media-amazon.com/images/M/MV5BZjJlNzE5YzEtYzQwYS00NTBjLTk5YzAtYzUwOWQyM2E3OGI2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX140_CR0,1,140,207_.jpg","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",https://www.imdb.com//title/tt4508902/?ref_=sr_t_15
16. Bleach,2004–2023,8.2,"https://m.media-amazon.com/images/M/MV5BZjE0YjVjODQtZGY2NS00MDcyLThhMDAtZGQwMTZiOWNmNjRiXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX140_CR0,1,140,207_.jpg","High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows"".",https://www.imdb.com//title/tt0434665/?ref_=sr_t_16
17. Your Name.,2016,8.4,"https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_QL75_UX140_CR0,0,140,207_.jpg","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",https://www.imdb.com//title/tt5311514/?ref_=sr_t_17
18. Cowboy Bebop,1998–1999,8.9,"https://m.media-amazon.com/images/M/MV5BZDEzMjlkNDgtZjhkNi00N2RlLWFhZTYtNDE5OTc2NjZkODJlXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR6,0,140,207_.jpg",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,https://www.imdb.com//title/tt0213338/?ref_=sr_t_18
19. Fullmetal Alchemist: Brotherhood,2009–2010,9.1,"https://m.media-amazon.com/images/M/MV5BZmEzN2YzOTItMDI5MS00MGU4LWI1NWQtOTg5ZThhNGQwYTEzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR4,0,140,207_.jpg",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,https://www.imdb.com//title/tt1355642/?ref_=sr_t_19
20. Pokémon,1997–2023,7.5,"https://m.media-amazon.com/images/M/MV5BNDcwZDc2NTEtMzU0Ni00YTQyLWIyYTQtNTI3YjM0MzhmMmI4XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX140_CR0,1,140,207_.jpg","A young boy named Ash Ketchum embarks on a journey to become a ""Pokemon Master"" with his first Pokemon, Pikachu. Joining him on his travels are Brock, a girl-obsessed Rock Pokemon Trainer, and Misty, a tomboyish Water Pokemon Trainer.",https://www.imdb.com//title/tt0168366/?ref_=sr_t_20
21. The Apothecary Diaries,2023–,8.6,"https://m.media-amazon.com/images/M/MV5BYzM3MzcyOTctMmNiNC00NjFiLWJhNzMtYTU1Y2E4MDE2MTUyXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,1,140,207_.jpg","A young maiden is kidnapped and sold into servitude at the emperor's palace, where she secretly employs her pharmacist skills with the help of the head eunuch to unravel medical mysteries in the inner court.",https://www.imdb.com//title/tt26743760/?ref_=sr_t_21
22. Berserk,1997–1998,8.7,"https://m.media-amazon.com/images/M/MV5BNzgwY2QwYjItYTM1NS00OTZmLThlMjUtNmE0Mzg0OGE0NzE3XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR6,0,140,207_.jpg","Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group's leader and founder. Together, they dominate every battle, but something menacing lurks in the shadows.",https://www.imdb.com//title/tt0318871/?ref_=sr_t_22
23. Classroom of the Elite,2017–,7.7,"https://m.media-amazon.com/images/M/MV5BMDM0MmVlOGItNDRjYi00MmE3LWExMjktMDc0YTYxYjAzYTE4XkEyXkFqcGdeQXVyNjc3NTI5MDY@._V1_QL75_UY207_CR5,0,140,207_.jpg","When Kiyotaka enters government-sponsored elite high school, he finds out just how merit-based this education system is.",https://www.imdb.com//title/tt7263328/?ref_=sr_t_23
24. Chainsaw Man,2022,8.4,"https://m.media-amazon.com/images/M/MV5BZjY5MDFhZTgtOGVhMi00NTUzLTk5NjktNmRlMjI3NjI4MmE0XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UY207_CR0,0,140,207_.jpg","Following a betrayal, a young man left for dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.",https://www.imdb.com//title/tt13616990/?ref_=sr_t_24
25. Monster,2004–2005,8.7,"https://m.media-amazon.com/images/M/MV5BM2ZkYTAwMGMtOGEwOS00MzBjLTgxOGYtZTYwY2E1ZjMyZmY4XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX140_CR0,1,140,207_.jpg","Tenma, a brilliant neurosurgeon with a promising future, risks his career to save the life of a critically wounded young boy. The boy, now a charismatic young man, reappears 9 years later in the midst of a string of unusual serial murders.",https://www.imdb.com//title/tt0434706/?ref_=sr_t_25
26. JoJo's Bizarre Adventure,2012–,8.5,"https://m.media-amazon.com/images/M/MV5BZDc3NGQ3ZWQtYjNkOC00MjhiLTg2N2YtNmZlOGNiZTFkOWNhXkEyXkFqcGdeQXVyNjc2NjA5MTU@._V1_QL75_UY207_CR3,0,140,207_.jpg","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives.",https://www.imdb.com//title/tt2359704/?ref_=sr_t_26
27. Spy x Family,2022–,8.4,"https://m.media-amazon.com/images/M/MV5BZDY5NTI3ZjUtNGY5ZC00MmE1LWI0ZTUtNDI3YTQ0NGFkMWJlXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX140_CR0,1,140,207_.jpg","A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together.",https://www.imdb.com//title/tt13706018/?ref_=sr_t_27
28. Black Clover,2017–2021,8.2,"https://m.media-amazon.com/images/M/MV5BNTAzYTlkMWEtOTNjZC00ZDU0LWI5ODUtYTRmYzY0MTAzYWZlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX140_CR0,1,140,207_.jpg","Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.",https://www.imdb.com//title/tt7441658/?ref_=sr_t_28
29. Bleach: Thousand-Year Blood War,2022–,9.0,"https://m.media-amazon.com/images/M/MV5BODFmYTUwYzMtM2M2My00NGExLWIzMDctYmRjNTNhZDc4MGI2XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UY207_CR3,0,140,207_.jpg","The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",https://www.imdb.com//title/tt14986406/?ref_=sr_t_29
30. Kill Bill: Vol. 2,2004,8.0,"https://m.media-amazon.com/images/M/MV5BNmFiYmJmN2QtNWQwMi00MzliLThiOWMtZjQxNGRhZTQ1MjgyXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UX140_CR0,0,140,207_.jpg","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",https://www.imdb.com//title/tt0378194/?ref_=sr_t_30
31. Pokémon Horizons,2023–,7.7,"https://m.media-amazon.com/images/M/MV5BZjVlYTkxZGEtMmMzMS00ZWY2LWIwZTEtZjY5YmVlMGEwZjJmXkEyXkFqcGdeQXVyNzI3NjY3NjQ@._V1_QL75_UY207_CR4,0,140,207_.jpg","Liko, whose partner Pokémon is Sprigatito, and Roy will encounter many characters during their journey, including a group called the Rising Volt Tacklers.",https://www.imdb.com//title/tt26692417/?ref_=sr_t_31
32. Neon Genesis Evangelion,1995–1996,8.5,"https://m.media-amazon.com/images/M/MV5BODZkZjUxNmEtMGEyOS00ZDY5LTkxZDMtZTJkZDBiZTkyOWRkXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR4,0,140,207_.jpg",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,https://www.imdb.com//title/tt0112159/?ref_=sr_t_32
33. Cyberpunk: Edgerunners,2022,8.3,"https://m.media-amazon.com/images/M/MV5BMTQ0MGI4NTgtZTlkNy00YTU5LThjM2ItNDczMGFlZWY2ZWM3XkEyXkFqcGdeQXVyMTM3NDc1OTM2._V1_QL75_UX140_CR0,0,140,207_.jpg","A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.",https://www.imdb.com//title/tt12590266/?ref_=sr_t_33
34. Boruto: Naruto Next Generations,2017–2023,6.5,"https://m.media-amazon.com/images/M/MV5BYjM0MDRkYzctMTNhMS00ODYwLTgwMWItZDYxNDlhOGY1YjRlXkEyXkFqcGdeQXVyMzExMzk5MTQ@._V1_QL75_UY207_CR3,0,140,207_.jpg","Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's shadow.",https://www.imdb.com//title/tt6342474/?ref_=sr_t_34
35. Perfect Blue,1997,8.0,"https://m.media-amazon.com/images/M/MV5BMmMzOWNhNTYtYmY0My00OGJiLWIzNDUtZWRhNGY0NWFjNzFmXkEyXkFqcGdeQXVyNjUxMDQ0MTg@._V1_QL75_UX140_CR0,0,140,207_.jpg","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",https://www.imdb.com//title/tt0156887/?ref_=sr_t_35
36. Akira,1988,8.0,"https://m.media-amazon.com/images/M/MV5BNjFmNWYzZjMtYWIyZi00NDVmLWIxY2EtN2RiMjZiMDk4MzcyXkEyXkFqcGdeQXVyMTg2NjYzOA@@._V1_QL75_UY207_CR3,0,140,207_.jpg","A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",https://www.imdb.com//title/tt0094625/?ref_=sr_t_36
37. Haikyu!!,2014–2020,8.7,"https://m.media-amazon.com/images/M/MV5BNjkyNDI2MTgtN2Y3NS00M2RjLWJhNDMtMmNmZmUwMDQwZTE1XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",https://www.imdb.com//title/tt3398540/?ref_=sr_t_37
38. Neon Genesis Evangelion: The End of Evangelion,1997,8.1,"https://m.media-amazon.com/images/M/MV5BMjU0MzQwMmMtMWU3OS00MDc0LWIzOTItZmE1MjZlYmExMGJiXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UX140_CR0,1,140,207_.jpg",Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,https://www.imdb.com//title/tt0169858/?ref_=sr_t_38
39. Gintama,2005–2021,8.7,"https://m.media-amazon.com/images/M/MV5BMDhmNjUxM2UtZTY2Zi00OTQ0LWExNjgtNDhkNTUyMjQ3MmU5XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",https://www.imdb.com//title/tt0988818/?ref_=sr_t_39
40. A Silent Voice: The Movie,2016,8.1,"https://m.media-amazon.com/images/M/MV5BZGRkOGMxYTUtZTBhYS00NzI3LWEzMDQtOWRhMmNjNjJjMzM4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY207_CR2,0,140,207_.jpg","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",https://www.imdb.com//title/tt5323662/?ref_=sr_t_40
41. Tokyo Revengers,2021–,7.9,"https://m.media-amazon.com/images/M/MV5BMTdmYmVlODktNWM0Yi00NDNlLWJhMjQtMzg1MzVhYzU1N2IwXkEyXkFqcGdeQXVyMTcxNDcyNDA4._V1_QL75_UY207_CR13,0,140,207_.jpg","Hanagaki Takemichi lives an unsatisfying life right up until his death. Waking up 12 years in the past, he reckons with the eventual fate of his friends and tries to prevent an unfortunate future.",https://www.imdb.com//title/tt13196080/?ref_=sr_t_41
42. Code Geass,2006–2008,8.7,"https://m.media-amazon.com/images/M/MV5BYzZjY2MzYTAtMmQxMi00MWVjLTlkZGQtYjJmNWVhODY3YjdjXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",https://www.imdb.com//title/tt0994314/?ref_=sr_t_42
43. The Eminence in Shadow,2022–2023,7.9,"https://m.media-amazon.com/images/M/MV5BMGU1NzE1Y2UtZmZkOC00ODQ4LTkwNDAtNmE4Yzk3NTA4MThlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UY207_CR3,0,140,207_.jpg","Cid Kagenou creates an elaborate plot to fight the Cult of Diabolos and builds his organization, the Shadow Garden.",https://www.imdb.com//title/tt14115938/?ref_=sr_t_43
44. Ghost in the Shell,1995,7.9,"https://m.media-amazon.com/images/M/MV5BYWRiYjQyOGItNzQ1Mi00MGI1LWE3NjItNTg1ZDQwNjUwNDM2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,https://www.imdb.com//title/tt0113568/?ref_=sr_t_44
45. Mob Psycho 100,2016–2022,8.6,"https://m.media-amazon.com/images/M/MV5BYWIwZjhkMzgtOWExYi00ZGIwLTg1ZTktNjQyZWIxYWFmZTc0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",https://www.imdb.com//title/tt5897304/?ref_=sr_t_45
46. The Wind Rises,2013,7.8,"https://m.media-amazon.com/images/M/MV5BMTU4NDg0MzkzNV5BMl5BanBnXkFtZTgwODA3Mzc1MDE@._V1_QL75_UX140_CR0,0,140,207_.jpg","Jiro Horikoshi studies assiduously to fulfill his aim of becoming an aeronautical engineer. As WWII begins, fighter aircraft designed by him end up getting used by the Japanese Empire against its foes.",https://www.imdb.com//title/tt2013293/?ref_=sr_t_46
47. Steins;Gate,2011–2015,8.8,"https://m.media-amazon.com/images/M/MV5BMjUxMzE4ZDctODNjMS00MzIwLThjNDktODkwYjc5YWU0MDc0XkEyXkFqcGdeQXVyNjc3OTE4Nzk@._V1_QL75_UX140_CR0,1,140,207_.jpg","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",https://www.imdb.com//title/tt1910272/?ref_=sr_t_47
48. Nausicaä of the Valley of the Wind,1984,8.0,"https://m.media-amazon.com/images/M/MV5BZTI3NmJmYTQtNDg4NS00M2VlLTgzZDAtZWIwZDcyOWY5YzIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,1,140,207_.jpg",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,https://www.imdb.com//title/tt0087544/?ref_=sr_t_48
49. A Sign of Affection,2024–,7.8,"https://m.media-amazon.com/images/M/MV5BMmIxNWFjYzgtM2NkMy00NTdkLWE4ZTEtMmY3NzU2MjA5MjAxXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,1,140,207_.jpg","When Yuki meets a handsome stranger who helps her out on the train, what sort of relationship will bloom? Could this be something real? Or will these feelings melt away with the snow?",https://www.imdb.com//title/tt30024091/?ref_=sr_t_49
50. The Seven Deadly Sins,2014–2021,7.8,"https://m.media-amazon.com/images/M/MV5BNmIzNTEwMGQtODE1YS00ZWNmLTg1YWUtYTg5YzQ5NTc0YzBjXkEyXkFqcGdeQXVyMTA0MDYyNzA0._V1_QL75_UY207_CR3,0,140,207_.jpg","The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves.",https://www.imdb.com//title/tt3909224/?ref_=sr_t_50
